Country,High,Mid,Low,Unknown,Total
Norway,36748,5568,180,11454,53950
Oman,84620,18018,3668,6805,113111
Pakistan,227487,349556,101900,26011,704954
Palau,386,139,13,86,624
Panama,132800,82111,26762,12332,254005
Papua New Guinea,4145,3501,1835,162,9643
Paraguay,141760,64654,17304,6325,230043
Peru,804670,424586,152408,110760,1492424
Philippines,2813754,3144331,416870,333518,6708473
Pitcairn,,,,0,0
Poland,384895,75638,3638,45125,509296
Portugal,210848,52536,6267,44650,314301
Puerto Rico,136310,10335,1213,12715,160573
Qatar,40175,12535,1112,6335,60157
Republic of Serbia,39416,9011,640,3639,52706
Republic of the Congo,3134,5211,2063,526,10934
Réunion,26223,5458,996,4720,37397
Romania,101556,21450,1797,13052,137855
Russia,18169,2807,63,576,21615
Rwanda,4017,3899,2220,578,10714
Saint Barthélemy,46,6,,4,56
"Saint Helena, Ascension and Tristan da Cunha",5,8,3,1,17
Saint Kitts and Nevis,1303,329,92,200,1924
Saint Lucia,3182,1028,247,379,4836
Saint Martin (French part),228,50,4,65,347
Saint Pierre and Miquelon,112,18,1,26,157
Saint Vincent and the Grenadines,1303,354,168,147,1972
Samoa,611,173,24,72,880
San Marino,431,99,3,60,593
Sao Tome and Principe,179,147,44,14,384
Saudi Arabia,675809,209217,17846,102605,1005477
Senegal,25556,35930,8182,2608,72276
Seychelles,3556,1617,274,292,5739
Sierra Leone,2429,2886,1237,197,6749
Singapore,259407,36614,3410,53265,352696
Sint Maarten (Dutch part),1650,326,50,249,2275
Slovakia,30374,5919,441,6854,43588
Slovenia,18565,2444,144,2546,23699
Solomon Islands,361,225,68,33,687
Somalia,8002,5145,3458,885,17490
South Africa,402005,144365,49235,32864,628469
South Korea,511259,122126,5258,82984,721627
South Sudan,957,849,262,99,2167
Spain,1014450,338991,25793,150067,1529301
Sri Lanka,53065,63295,16439,12620,145419
Sudan,8770,12341,5672,332,27115
Suriname,4611,2571,507,291,7980
Svalbard Jan Mayen,9,1,,2,12
Swaziland,947,1140,705,138,2930
Sweden,94794,11966,678,22214,129652
Switzerland,117137,16138,960,24018,158253
Syria,20594,24638,6011,893,52136
Taiwan,440255,59446,1752,77010,578463
Tajikistan,4595,1566,322,293,6776
Thailand,2934596,843637,82700,478118,4339051
The Bahamas,9296,2351,541,1201,13389
Togo,4831,6023,1942,330,13126
Tonga,176,76,12,45,309
Trinidad and Tobago,17747,7034,2502,2278,29561
Tunisia,31581,31176,6222,7088,76067
Turkey,481774,272401,19088,82001,855264
Turkmenistan,50,5,2,7,64
Turks and Caicos Islands,1075,192,53,201,1521
Tuvalu,32,13,,5,50
Uganda,12902,10393,4918,994,29207
Ukraine,224741,65709,4786,21259,316495
United Arab Emirates,264757,60566,6201,46852,378376
United Kingdom,1303799,124617,12029,211655,1652100
United Republic of Tanzania,19332,12069,5005,1612,38018
United States of America,5903428,510227,53406,1546744,8013805
Uruguay,160441,64191,15496,19501,259629
Uzbekistan,63816,29429,8428,4308,105981
Vanuatu,458,178,42,60,738
Venezuela,347425,293832,83908,9636,734801
Vietnam,593545,267876,32689,130329,1024439
Virgin Islands (British),1018,154,30,113,1315
Virgin Islands (U.S.),2840,185,20,457,3502
Wallis and Futuna,59,10,3,11,83
West Bank,18218,11764,1640,2565,34187
Yemen,29282,19072,4332,776,53462
Zambia,6539,10666,3958,795,21958
Zimbabwe,14191,12009,4415,1216,31831
